,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS,과정
0,요양보호사 자격 취득과정(비NCS),세종고운간호전문학원(부설 세종고운요양보호사 교육원),33,640080,30,64.7,55.0,세종,,06_보건의료,요양보호사
1,간호조무사자격취득과정(주간C),덕천간호학원,191,2903200,30,74.7,29.0,부산,북구,06_보건의료,간호조무사
2,요양보호사 자격 취득과정,한성요양보호사교육원,30,480000,35,60.0,56.0,서울,성북구,06_보건의료,요양보호사
3,요양보호사자격증취득과정,성모간호학원부설요양보호사교육원,33,600000,34,64.1,53.0,전북,정읍시,06_보건의료,요양보호사
4,요양보호사 자격증 취득과정,현대요양보호사교육원,35,600000,30,54.3,54.0,울산,남구,06_보건의료,요양보호사
5,요양보호사 자격 취득과정(주간),화명요양보호사교육원,33,600000,39,60.2,56.0,부산,북구,06_보건의료,요양보호사
6,"요양보호사 국가 자격증 취득과정 (요양지원, 간병인)",남동요양보호사교육원,30,540000,40,51.5,53.0,인천,남동구,06_보건의료,요양보호사
7,요양보호사 국가 자격증 취득과정,성심요양보호사교육원,36,600000,35,71.6,54.0,경남,양산시,06_보건의료,요양보호사
8,요양보호사 자격 취득과정,홍성간호학원부설요양보호사교육원,30,641520,30,40.0,52.0,충남,홍성군,06_보건의료,요양보호사
9,요양보호사자격증취득,굿모닝요양보호사교육원,30,641520,36,59.0,55.0,울산,남구,06_보건의료,요양보호사
10,요양보호사자격증 취득과정,한국실버요양보호사교육원,30,468000,30,50.5,60.0,서울,관악구,06_보건의료,요양보호사
11,요양보호사 자격 취득과정,운정요양보호사교육원,30,641280,24,62.0,,경기,파주시,06_보건의료,요양보호사
12,요양보호사 양성과정(자격취득),영남간호학원부설 요양보호사교육원,35,630000,40,46.4,57.0,대구,서구,06_보건의료,요양보호사
13,요양보호사 양성과정(사회복지사자격취득자),부천중부요양보호사교육원,12,200000,40,52.4,48.0,경기,부천시,06_보건의료,요양보호사
14,요양보호사 자격 취득 과정,에녹요양보호사교육원,30,540000,40,50.0,58.0,서울,구로구,06_보건의료,요양보호사
15,요양보호사 자격취득과정,성모요양보호사교육원,30,500160,36,73.1,54.0,경북,상주시,06_보건의료,요양보호사
16,요양보호사자격취득과정,범계요양보호사교육원,30,499920,40,50.5,56.0,경기,안양시,06_보건의료,요양보호사
17,요양보호사 양성과정(자격증 취득과정),부천중부요양보호사교육원,30,510000,40,52.4,56.0,경기,부천시,06_보건의료,요양보호사
18,요양보호사자격증 취득,새고려요양보호사교육원,30,600000,30,50.0,55.0,부산,금정구,06_보건의료,요양보호사
19,요양보호사 자격 취득과정,운정요양보호사교육원,30,641280,24,62.0,56.0,경기,파주시,06_보건의료,요양보호사
20,요양보호사 자격증 취득과정,큰사랑요양보호사교육원,30,450000,40,90.0,51.0,경북,구미시,06_보건의료,요양보호사
21,요양보호사 자격 취득과정,당감요양보호사교육원,35,600000,39,67.1,53.0,부산,부산진구,06_보건의료,요양보호사
22,요양보호사 자격 취득과정,부경요양보호사교육원,30,600000,40,50.9,56.0,부산,북구,06_보건의료,요양보호사
23,요양보호사(표준교육과정),안양벧엘요양보호사교육원,30,550000,24,60.9,54.0,경기,안양시,06_보건의료,요양보호사
24,요양보호사 국가자격증취득 & 취업 연계과정,온양요양보호사교육원,33,529920,28,57.1,58.0,충남,아산시,06_보건의료,요양보호사
25,요양보호사 자격 취득과정,포천요양보호사교육원,33,510000,34,50.0,53.0,경기,포천시,06_보건의료,요양보호사
26,요양보호사 자격 취득과정,예산간호학원부설 요양보호사교육원,33,641280,30,87.5,49.0,충남,예산군,06_보건의료,요양보호사
27,요양보호사자격증취득과정,부산해운대요양보호사교육원,35,600000,35,62.7,56.0,부산,해운대구,06_보건의료,요양보호사
28,요양보호사 자격취득과정,수원행복 요양보호사 교육원,30,480000,40,58.7,56.0,경기,수원시,06_보건의료,요양보호사
29,요양보호사 자격 취득과정,김포요양보호사교육원,30,600000,40,52.4,57.0,경기,김포시,06_보건의료,요양보호사
30,요양보호사 (자격취득) 양성 과정,경북요양보호사교육원,30,600000,40,65.0,52.0,경북,상주시,06_보건의료,요양보호사
31,요양보호사 자격 취득과정,제이성모요양보호사교육원,30,650000,30,65.0,51.0,전북,익산시,06_보건의료,요양보호사
32,요양보호사 자격 취득과정,지산요양보호사교육원,30,550080,38,59.5,59.0,대구,수성구,06_보건의료,요양보호사
33,요양보호사자격증취득,새희망요양보호사교육원,30,510000,33,55.2,57.0,인천,남동구,06_보건의료,요양보호사
34,요양보호사 자격 취득과정,동래삼성실버요양보호사교육원,37,640080,37,59.8,55.0,부산,동래구,06_보건의료,요양보호사
35,요양보호사국가자격증취득과정,참사랑요양보호사교육원,30,500160,40,63.0,55.0,충북,청주시,06_보건의료,요양보호사
36,요양보호사 자격 취득과정,은평엔젤요양보호사교육원,30,510000,40,50.8,56.0,서울,은평구,06_보건의료,요양보호사
37,요양보호사 자격 취득과정,달서구요양보호사교육원,33,550080,40,40.8,55.0,대구,달서구,06_보건의료,요양보호사
38,요양보호사자격취득과정,사랑평생교육원 부설 요양보호사교육원,30,600000,40,68.9,52.0,강원,원주시,06_보건의료,요양보호사
39,요양보호사자격취득과정,금빛요양보호사교육원,30,500160,40,46.9,57.0,서울,강서구,06_보건의료,요양보호사
40,NCS 요양보호사 자격증 취득과정,영통경기요양보호사교육원,30,600000,37,38.9,55.0,경기,수원시,06_보건의료,요양보호사
41,요양보호사 자격 취득과정(주간반),한양요양보호사교육원,30,480000,40,47.0,55.0,충남,천안시,06_보건의료,요양보호사
42,요양보호사 자격 취득과정,동두천간호학원요양보호사교육원,30,600000,35,65.1,54.0,경기,동두천시,06_보건의료,요양보호사
43,요양보호사 자격증취득 과정,안양여성인력개발센터부설 요양보호사교육원,30,450000,22,49.6,54.0,경기,안양시,06_보건의료,요양보호사
44,요양보호사 자격증 취득과정,충주요양보호사교육원,32,600000,38,63.7,56.0,충북,충주시,06_보건의료,요양보호사
45,요양보호사 국가자격증 취득과정,하단레몬요양보호사교육원,30,600000,40,49.4,54.0,부산,사하구,06_보건의료,요양보호사
46,요양보호사 자격증 취득 과정,경북베델요양보호사교육원,33,640080,35,42.3,57.0,대구,중구,06_보건의료,요양보호사
47,요양보호사 자격 취득과정,정상요양보호사교육원,30,540000,38,56.0,57.0,경기,성남시,06_보건의료,요양보호사
48,요양보호사 자격증 취득과정,가족요양보호사교육원,30,450000,35,64.7,57.0,서울,강동구,06_보건의료,요양보호사
49,요양보호사 자격 취득 과정,e-한나요양보호사교육원,35,540000,40,62.5,57.0,서울,강동구,06_보건의료,요양보호사
50,요양보호사국가자격증취득과정,다사랑요양보호사교육원,30,640080,30,61.4,53.0,대구,동구,06_보건의료,요양보호사
51,요양보호사 실업자과정(주간),인천서부요양보호사교육원,32,570000,40,46.2,54.0,인천,서구,06_보건의료,요양보호사
52,요양보호사 자격 취득과정,삼척요양보호사교육원,30,552000,35,79.7,52.0,강원,삼척시,06_보건의료,요양보호사
53,요양보호사 양성과정,성심요양보호사교육원,30,500000,37,58.2,55.0,서울,도봉구,06_보건의료,요양보호사
54,요양보호사양성(실업자),강릉요양보호사교육원,36,549840,40,61.2,54.0,강원,강릉시,06_보건의료,요양보호사
55,요양보호사 자격증 취득과정,대신요양보호사교육원,30,480000,30,52.3,54.0,경기,수원시,06_보건의료,요양보호사
56,요양보호사 취득과정,호남제일간호학원부설요양보호사교육원,33,600000,30,72.0,54.0,전북,전주시,06_보건의료,요양보호사
57,요양보호사 국가자격증 취득과정(일반반),희망요양보호사교육원,30,550080,30,48.0,58.0,서울,은평구,06_보건의료,요양보호사
58,요양보호사자격취득과정,서일간호학원부설요양보호사교육원,33,641520,34,56.6,56.0,충남,서산시,06_보건의료,요양보호사
59,요양보호사 자격 취득과정,경기제일요양보호사교육원,30,600000,40,58.9,54.0,경기,안양시,06_보건의료,요양보호사
60,"요양보호사자격취득과정(신규,2019-2)",미래요양보호사교육원,33,640800,40,54.3,57.0,대구,달서구,06_보건의료,요양보호사
61,"요양보호사 자격증 취득과정(주중,주말반)",유니스타요양보호사교육원,30,540000,40,55.0,55.0,경기,파주시,06_보건의료,요양보호사
62,요양보호사 자격 취득과정,연세요양보호사교육원,30,450000,40,45.4,55.0,경기,용인시,06_보건의료,요양보호사
63,요양보호사 자격증 취득과정 (사회복지사),진해간호요양보호사교육원,12,200000,30,35.5,45.0,경남,창원시,06_보건의료,요양보호사
64,요양보호사(표준)주간과정,익산평화요양보호사교육원,30,641280,25,47.5,53.0,전북,익산시,06_보건의료,요양보호사
65,요양보호사 국가자격증 양성과정,햇빛요양보호사교육원,30,499920,36,66.3,55.0,서울,도봉구,06_보건의료,요양보호사
